Title,Year,Rating
The Shawshank Redemption,1994,9.3(3M)
The Godfather,1972,9.2(2.1M)
The Dark Knight,2008,9.0(3M)
The Godfather Part II,1974,9.0(1.4M)
12 Angry Men,1957,9.0(916K)
The Lord of the Rings: The Return of the King,2003,9.0(2.1M)
Schindler's List,1993,9.0(1.5M)
Pulp Fiction,1994,8.9(2.3M)
The Lord of the Rings: The Fellowship of the Ring,2001,8.9(2.1M)
"The Good, the Bad and the Ugly",1966,8.8(846K)
Forrest Gump,1994,8.8(2.4M)
The Lord of the Rings: The Two Towers,2002,8.8(1.9M)
Fight Club,1999,8.8(2.4M)
Inception,2010,8.8(2.7M)
Star Wars: Episode V - The Empire Strikes Back,1980,8.7(1.4M)
The Matrix,1999,8.7(2.1M)
Goodfellas,1990,8.7(1.3M)
One Flew Over the Cuckoo's Nest,1975,8.7(1.1M)
Interstellar,2014,8.7(2.3M)
Se7en,1995,8.6(1.9M)
It's a Wonderful Life,1946,8.6(524K)
Seven Samurai,1954,8.6(381K)
The Silence of the Lambs,1991,8.6(1.6M)
Saving Private Ryan,1998,8.6(1.6M)
City of God,2002,8.6(832K)
