City,Condition,Temperature,Humidity,Wind Speed
Kabul,Clear,+9°C,31%,↓4km/h
Tirana,Partly,cloudy,+15°C,55%
Algiers,Sunny,+32°C,10%,→12km/h
Andorra la Vella,Patchy,rain,nearby,+4°C
Luanda,Partly,cloudy,+31°C,71%
Buenos Aires,Sunny,+26°C,51%,↓4km/h
Yerevan,Sunny,+22°C,17%,↗4km/h
Canberra,Clear,+9°C,81%,↖7km/h
Vienna,Partly,cloudy,+4°C,41%
Baku,Clear,+15°C,63%,↑27km/h
Manama,Clear,+23°C,53%,↙16km/h
Dhaka,Clear,+29°C,60%,↑20km/h
Bridgetown,Partly,cloudy,+28°C,79%
Minsk,Sunny,-1°C,40%,↓25km/h
Brussels,Partly,cloudy,+9°C,50%
Belmopan,Light,rain,shower,+27°C
Porto-Novo,Partly,cloudy,+32°C,71%
Thimphu,Patchy,rain,nearby,+4°C
La Paz,Partly,cloudy,+9°C,76%
Sarajevo,Partly,cloudy,+4°C,65%
Gaborone,Overcast,+24°C,57%,↙10km/h
Brasilia,Partly,cloudy,+28°C,51%
Sofia,Partly,cloudy,+7°C,76%
Ouagadougou,Sunny,+41°C,17%,←22km/h
Gitega,Patchy,rain,nearby,+21°C
Phnom Penh,Partly,cloudy,+30°C,75%
Yaoundé,Partly,cloudy,+28°C,66%
Ottawa,Partly,cloudy,-2°C,69%
Praia,Sunny,+27°C,42%,↓32km/h
Bangui,Rain,with,thunderstorm,+25°C
N'Djamena,Sunny,+40°C,4%,↙14km/h
Santiago,Partly,cloudy,+17°C,45%
Beijing,Clear,+4°C,28%,↙12km/h
Bogotá,Partly,cloudy,+15°C,94%
Moroni,Clear,+27°C,82%,↑17km/h
San José,Light,rain,+10°C,96%
Zagreb,Light,rain,"shower,",rain
Havana,Partly,cloudy,+24°C,74%
Nicosia,Sunny,+22°C,78%,↙4km/h
Prague,Sunny,+3°C,38%,↙22km/h
Kinshasa,Patchy,rain,nearby,+28°C
Copenhagen,Sunny,+6°C,31%,↘17km/h
Djibouti,Patchy,rain,nearby,+27°C
Roseau,Light,snow,-5°C,86%
Quito,Patchy,rain,nearby,+13°C
Cairo,Sunny,+34°C,18%,→5km/h
San Salvador,Sunny,+28°C,55%,↓9km/h
Malabo,Sunny,+28°C,73%,↗18km/h
Asmara,Clear,+34°C,25%,↑16km/h
Tallinn,Light,snow,+1°C,69%
Mbabane,Partly,cloudy,+24°C,61%
Addis Ababa,Partly,cloudy,+19°C,44%
Suva,Partly,cloudy,+24°C,100%
Helsinki,Light,snow,+1°C,69%
Paris,Sunny,+12°C,38%,←19km/h
Banjul,Sunny,+34°C,32%,↙13km/h
Tbilisi,Sunny,+26°C,20%,↘16km/h
Berlin,Sunny,+6°C,31%,↙17km/h
Accra,Partly,cloudy,+32°C,67%
Athens,Sunny,+8°C,42%,↘22km/h
Guatemala City,Partly,cloudy,+20°C,73%
Conakry,Sunny,+31°C,59%,↗25km/h
Bissau,Sunny,+35°C,28%,↗20km/h
Georgetown,Overcast,+4°C,65%,↘8km/h
Port-au-Prince,Partly,cloudy,+29°C,62%
Tegucigalpa,Partly,cloudy,+25°C,61%
Budapest,Partly,cloudy,+3°C,81%
Reykjavik,Partly,cloudy,+9°C,71%
New Delhi,Haze,+24°C,47%,→12km/h
Jakarta,"Rain,",rain,with,thunderstorm
Tehran,Clear,+23°C,12%,↘11km/h
Baghdad,Partly,cloudy,+28°C,28%
Dublin,Partly,cloudy,+7°C,70%
Jerusalem,Sunny,+29°C,27%,↘9km/h
Rome,Partly,cloudy,+14°C,63%
Tokyo,Clear,+12°C,46%,→18km/h
Amman,Sunny,+26°C,20%,↘9km/h
Nur-Sultan,Clear,+2°C,87%,↗23km/h
Nairobi,Patchy,rain,nearby,+22°C
Tarawa,Sunny,+41°C,4%,↙23km/h
Kuwait City,Clear,+23°C,41%,↖16km/h
Bishkek,Clear,+9°C,43%,↑9km/h
Vientiane,Mist,+25°C,79%,←19km/h
Riga,Sunny,+2°C,41%,↘14km/h
